,0
0,1.7164131
1,1.7474765
2,1.2845199
3,1.4888046
4,1.7457782
5,1.7971098
6,1.7149303
7,1.3603129
8,1.2623501
9,10.856966
10,1.8584673
11,1.4303172
12,1.3681223
13,1.5217749
14,1.3668551
15,1.7916696
16,1.2495071
17,2.5532975
18,1.4439857
19,1.6397527
20,1.793596
21,2.00744
22,1.3668385
23,2.446507
24,2.1586099
25,2.2355323
26,2.146773
27,1.5761662
28,1.4776328
29,4.4619846
30,1.6524493
31,1.0814595
32,2.1025295
33,2.250669
34,1.7675102
35,1.865176
36,1.997344
37,2.1322432
38,1.9366322
39,2.1612246
40,0.9856951
41,1.9554693
42,1.1767809
43,1.2519108
44,1.2105055
45,1.8044181
46,1.5979996
47,1.5039785
48,1.543422
49,1.5576434
50,1.3190656
51,2.745428
52,1.3819445
53,1.728679
54,1.8293848
55,1.4561913
56,1.5607138
57,1.7170959
58,5.3048844
59,1.7121634
60,1.2640506
61,1.5624717
62,2.4286408
63,1.9064357
64,2.125399
65,1.1502881
66,1.6851315
67,3.2333322
68,2.0206459
69,1.4349111
70,1.8777413
71,2.0392416
72,1.7227659
73,2.216631
74,1.230552
75,1.59645
76,1.4307609
77,1.1302506
78,1.8704104
79,1.5980942
80,2.5645406
81,1.2670549
82,0.945404
83,2.270764
84,1.1303782
85,1.2471824
86,2.26933
87,1.8999045
88,1.0380539
89,2.08726
90,1.7690958
91,1.4515367
92,1.7116001
93,2.6291294
94,0.8364637
95,1.7510033
96,1.1332743
97,1.3109634
98,2.2077355
99,1.8044536
100,1.0971438
101,1.3222753
102,1.6480529
103,1.4502411
104,1.8224746
105,1.2536163
106,1.5401219
107,1.4893348
108,2.0217512
109,1.30569
110,1.0493907
111,1.7734575
112,1.687495
113,2.840059
114,1.3970056
115,2.1044953
116,1.3954456
117,1.3179889
118,1.5893011
119,1.6700821
120,1.7465005
121,1.4078282
122,1.4390113
123,1.6891959
124,1.9764061
125,1.4588546
126,1.4051085
127,2.1185126
128,1.7635353
129,1.8992951
130,1.6612855
131,1.3334332
132,1.3989927
133,3.0491343
134,1.8781157
135,1.7476169
136,1.6139116
137,1.8518806
138,1.5310154
139,1.3605919
140,1.9583294
141,1.6623554
142,2.6385472
143,1.7058003
144,1.6404533
145,2.321946
146,1.3919683
147,1.2933514
148,2.7168431
149,1.4215672
150,1.7425139
151,1.464216
152,1.4267638
153,1.7660688
154,2.3133216
155,1.4359853
156,1.7009647
157,1.3871052
158,1.3310931
159,1.811322
160,2.1590605
161,1.4878234
162,1.1948872
163,2.1286983
164,1.601002
165,2.5970416
166,1.0573328
167,1.61264
168,1.2176082
169,2.0864553
170,1.1798639
171,1.3069079
172,1.365994
173,1.20069
174,1.1715671
175,1.1839919
176,1.8246951
177,1.5588391
178,1.9073051
179,1.8499194
180,1.168483
181,2.2212925
182,0.94542897
183,2.0318584
184,1.3171325
185,1.6362078
186,2.5043502
187,1.7415969
188,1.4696375
189,1.1948082
190,1.4490391
191,1.8864806
192,1.7009579
193,1.7145243
194,1.0006835
195,2.0993505
196,1.848748
197,1.527852
198,1.4615033
199,1.440314
200,2.281756
201,2.0976043
202,1.9532707
203,1.5567331
204,1.9289258
205,2.1088934
206,1.5993993
207,1.516029
208,1.421576
209,1.17821
210,1.6493374
211,1.7529355
212,1.1119888
213,2.2702432
214,2.5015879
215,1.7370198
216,1.0313495
217,1.2604685
218,1.8462
219,1.4309446
220,1.3327537
221,1.3062152
222,1.5623535
223,1.7206371
224,1.6750513
225,1.5831364
226,2.2855482
227,2.0252388
228,1.4475417
229,1.793097
230,2.363949
231,1.4860928
232,1.9392835
233,1.6597332
234,1.8753148
235,2.969062
236,2.1061604
237,1.9662834
238,1.6508789
239,1.9223236
240,1.5169847
241,1.3029656
242,1.601789
243,0.9624057
244,1.4495809
245,1.7193446
246,1.3882589
247,1.8925018
248,1.7799821
249,1.4507579
250,2.0481255
251,1.9877661
252,1.0563023
253,3.177411
254,1.317934
255,1.3389382
256,2.1325965
257,1.601953
258,1.9226508
259,2.3643985
260,1.2554924
261,1.9524753
262,1.3638015
263,1.7141509
264,1.4483876
265,1.0529895
266,1.5153327
267,1.5056899
268,2.8115792
269,1.1139446
270,1.8717759
271,1.4438757
272,3.4946616
273,1.2610934
274,1.414558
275,1.8984916
276,2.565644
277,1.5930841
278,1.2703017
279,1.1195353
280,1.2951167
281,1.7634673
282,1.4645195
283,1.3464202
284,2.5743759
285,1.2488356
286,2.9803061
287,1.0900066
288,1.466286
289,1.2735636
290,1.6980698
291,2.1451592
292,1.2289727
293,1.6810936
294,1.5632999
295,0.98394346
296,1.7773142
297,1.4402834
298,1.8016293
299,1.7548778
300,1.2738957
301,1.4792666
302,1.6278992
303,1.3049898
304,0.9779577
305,2.33018
306,2.2326014
307,1.0575027
308,1.8302345
309,1.4388919
310,2.2657208
311,1.4237208
312,0.9625293
313,2.0432494
314,2.8915675
315,1.785421
316,1.970157
317,2.1839445
318,2.2556818
319,1.6238401
320,1.0577111
321,1.8207548
322,1.2120044
323,1.2160923
324,1.2103561
325,1.3993611
326,1.6072392
327,1.997128
328,1.5579026
329,1.3345294
330,1.0600443
331,1.8688133
332,2.1042023
333,2.1749456
334,1.7341946
335,1.8312624
336,1.458704
337,1.7856152
338,1.0772387
339,1.5622205
340,1.5441359
341,1.6232284
342,1.4090939
343,1.6698955
344,1.4896705
345,2.3107612
346,1.6520511
347,1.2858186
348,2.1462135
349,1.3038332
350,1.2767342
351,2.3752491
352,1.239037
353,2.5958717
354,1.6263855
355,1.4439079
356,1.4935617
357,1.3889652
358,1.4493133
359,1.8705168
360,1.5983405
361,1.225392
362,1.1759412
363,1.4501548
364,2.9309874
365,1.1086498
366,1.7764716
367,1.4406316
368,0.7712171
369,1.9700358
370,1.0318047
371,1.0298462
372,1.1218555
373,1.8728421
374,0.93562233
375,1.8385959
376,1.2272943
377,2.4912896
378,1.6337867
379,1.0831621
380,1.5058281
381,1.2462697
382,1.4573823
383,2.5838323
384,2.139684
385,2.0146518
386,1.1943703
387,1.8855743
388,1.7981246
389,1.6022737
390,2.3159337
391,1.2640493
392,1.3910463
393,1.8164802
394,1.8894706
395,2.4227707
396,1.3599217
397,1.6400276
398,1.1383399
399,2.1213593
400,1.7745376
401,0.6718222
